,Ubicazione,Tipo via,Nome via,Civico,Codice via,Municipio,Camere,Camere piano,Stelle,Insegna,Piani totali,Piano piano,Posti letto,Posti letto per piano,Tipo struttura
17,CSO LODI N. 4 (z.d. 5),CSO,LODI,4,4068.0,5,21.0,21,,hotel five,,,43.0,43,Albergo
18,CSO LODI N. 74 (z.d. 4),CSO,LODI,74,4068.0,4,27.0,,1,hotel del sud,,,46.0,,Albergo
19,CSO MAGENTA N. 61 (z.d. 1),CSO,MAGENTA,61,604.0,1,105.0,,3,palazzo delle stelline,,,167.0,,Albergo
20,CSO MAGENTA N. 78 (z.d. 1),CSO,MAGENTA,78,604.0,1,16.0,16,3,antica locanda leonardo,1.0,1,35.0,35,Albergo
21,CSO MAGENTA num.019 ; (z.d. 1),CSO,MAGENTA,19,,1,48.0,8,4,hotel king,6.0,1;2;3;4;5;6,96.0,16;17;15,Albergo
22,CSO MATTEOTTI GIACOMO num.004/6 cinque stelle lusso; (z.d. 1),CSO,MATTEOTTI GIACOMO,4/6,218.0,1,154.0,154,l,boscolo hotel exedra,,,308.0,308,Albergo
23,CSO SEMPIONE N. 69 (z.d. 8),CSO,SEMPIONE,69,7137.0,8,83.0,,4,hotel nasco,,,211.0,,Albergo
24,CSO SEMPIONE num.091 ; (z.d. 8),CSO,SEMPIONE,91,,8,113.0,0,4,enterprise hotel,,,216.0,0,Albergo
25,CSO VENTIDUE MARZO N. 32 (z.d. 4),CSO,VENTIDUE MARZO,32,3074.0,4,9.0,,1,hotel america,,,18.0,,Albergo
26,CSO VENTIDUE MARZO N. 43 (z.d. 4),CSO,VENTIDUE MARZO,43,3074.0,4,9.0,0,1,hotel el diablo,,,15.0,0,Albergo
27,CSO VERCELLI N. 1 (z.d. 7),CSO,VERCELLI,1,6193.0,7,7.0,,1,hotel nicosia,,,15.0,,Albergo
28,CSO VERCELLI N. 55 (z.d. 7),CSO,VERCELLI,55,6193.0,7,14.0,5;5;4,1,ferrari,3.0,R;1;2,25.0,8;10;7,Albergo
29,CSO VERCELLI N. 61 (z.d. 7),CSO,VERCELLI,61,6193.0,7,40.0,11;11,3,hotel metro,2.0,1;2,64.0,19;19,Albergo
30,GLL BUENOS AIRES N. 5 sembra avere come indirizzo ufficiale corso buenos aires 42 ma ermes non riconosce il civico (z.d. 3),GLL,BUENOS AIRES,5,2146.0,3,60.0,3;10;;;;4;13,4,hotel city,7.0,1;6;2;5;4;7;3,100.0,3;14;;;;7;22,Albergo
31,GLL DEL CORSO N. 3 (z.d. 1),GLL,DEL CORSO,3,305.0,1,87.0,12;16;16;14;12;10;4,4,hotel ambasciatori,7.0,3;4;5;6;7;8;9,150.0,23;26;32;26;24;17;9,Albergo
32,LGO AUGUSTO N. 10 (z.d. 1),LGO,AUGUSTO,10,315.0,1,242.0,19;36;30;34;33;27;26,4,jolly hotel president,8.0,1;2;3;4;5;6;7;8,530.0,38;70;59;69;67;55;49,Albergo
33,LGO CARROBBIO num.002 ;,LGO,CARROBBIO,2,542.0,1.0,52.0,8;8;8;8;8;8,3,hotel ariston,6.0,1;2;3;4;5;6,95.0,15;15;15;12;10;10,Albergo
34,LGO RIO DE JANEIRO N. 12 (z.d. 3),LGO,RIO DE JANEIRO,12,3174.0,3,29.0,0,4,hotel dieci,,,41.0,0,Albergo
35,PLE CORVETTO LUIGI EMANUELE N. 5 (z.d. 4),PLE,CORVETTO LUIGI EMANUELE,5,4174.0,4,15.0,3;6;6,1,hotel corvetto,3.0,R;1;2,25.0,4;7;7,Albergo
36,PLE LOTTO LORENZO N. 14 (z.d. 8),PLE,LOTTO LORENZO,14,6539.0,8,27.0,,3,HOTEL ORO BLU,,,48.0,,Albergo
37,PLE PRINCIPESSA CLOTILDE N. 10 (z.d. 9),PLE,PRINCIPESSA CLOTILDE,10,1061.0,9,57.0,0,3,hotel cervo,,,79.0,0,Albergo
38,PLE TRIPOLI N. 3 (z.d. 6),PLE,TRIPOLI,3,6130.0,6,10.0,,1,hotel tripoli,,,20.0,,Albergo
39,PZA ASPROMONTE N. 18 (z.d. 3),PZA,ASPROMONTE,18,2246.0,3,10.0,,1,hotel tirreno,,,16.0,,Albergo
40,PZA ASPROMONTE N. 22 (z.d. 3),PZA,ASPROMONTE,22,2246.0,3,29.0,5;6;6,3,hotel florence,,1;2;3,56.0,9;11;11,Albergo
41,PZA ASPROMONTE num.012/14 ; (z.d. 3),PZA,ASPROMONTE,12/14,2246.0,3,19.0,4;8;7,3,hotel aspromonte,3.0,T;1;2,31.0,9;12;10,Albergo
42,PZA BECCARIA CESARE N. 6 subingresso con riduzione came; (z.d. 1),PZA,BECCARIA CESARE,6,306.0,1,15.0,7;20;10,1,hotel nuovo,,1;2;3,33.0,14;37;13,Albergo
43,PZA BUONARROTI MICHELANGELO N. 31 r.t.a.con 23 alloggi e 24 p.l.; (z.d. 7),PZA,BUONARROTI MICHELANGELO,31,6252.0,7,23.0,,2,residence le corti,,,24.0,,Residence
44,PZA CINQUE GIORNATE N. 6 (z.d. 1),PZA,CINQUE GIORNATE,6,3053.0,1,22.0,,2,hotel cinque giornate,,,48.0,,Albergo
45,PZA DEL DUOMO N. 25 (z.d. 1),PZA,DEL DUOMO,25,1.0,1,161.0,29;30;50;38;22;2,4,grand hotel duomo,7.0,1;2;3;4;5;A,244.0,42;46;62;60;31;3,Albergo
46,PZA DELLA REPUBBLICA N. 13 (z.d. 2),PZA,DELLA REPUBBLICA,13,1055.0,2,99.0,6;6;6;6;6;6;6;6;6;6,I,duca di milano,,1;2;3;4;5;6;7;8;9;0,189.0,11;11;11;11;11;11;11;11;11;11,Albergo
47,PZA DELLA REPUBBLICA N. 17 (z.d. 2),PZA,DELLA REPUBBLICA,17,1055.0,2,302.0,412,5,HOTEL PRINCIPE DI SAVOIA,,,725.0,812,Albergo
48,PZA DELLA REPUBBLICA N. 17 (z.d. 2),PZA,DELLA REPUBBLICA,17,1055.0,2,313.0,48;50;41;41;41;43;10;10;10,I,hotel principe di savoia,,1;2;3;4;5;6;7;8;9,623.0,76;81;71;71;85;70;18;18;18,Albergo
49,PZA DELLA REPUBBLICA N. 20 (z.d. 2),PZA,DELLA REPUBBLICA,20,1055.0,2,228.0,6;28;29;26;24;13,I,the westin palace,,A;1;2;3;4;5;6;7;8;9,441.0,11;48;43;37;22;20,Albergo
50,PZA DUCA D'AOSTA N. 16 (z.d. 2),PZA,DUCA D'AOSTA,16,1200.0,2,63.0,9,3,mini hotel aosta,7.0,1;2;3;4;5;6;7,110.0,15;16,Albergo
51,PZA DUCA D'AOSTA N. 9 (z.d. 2),PZA,DUCA D'AOSTA,9,1200.0,2,243.0,45;42;43;43;43;47,l,hotel execelsior gallia,8.0,1;2;3;4;5;6,448.0,79;71;73;74;69;67,Albergo
52,PZA FONTANA N. 3 (z.d. 1),PZA,FONTANA,3,308.0,1,327.0,45;43;45;41;6;1,4,starhotels rosa grand,,1;2;3;4;5;6,650.0,78;76;74;64;10;1,Albergo
53,PZA GERUSALEMME N. 12 (z.d. 8),PZA,GERUSALEMME,12,7201.0,8,15.0,0,4,town house 12,,,23.0,0,Albergo
54,PZA GERUSALEMME N. 6 (z.d. 8),PZA,GERUSALEMME,6,7201.0,8,119.0,15;15;15;15;16;10,4,hotel mozart,,1;2;3;4;5;6,208.0,26;26;26;26;26;12,Albergo
55,PZA LEONARDO DA VINCI N. 10 (z.d. 3),PZA,LEONARDO DA VINCI,10,2208.0,3,13.0,0,1,leonardo da vinci,,,20.0,0,Albergo
56,PZA LIMA N. 2 num.001 ; (z.d. 3),PZA,LIMA,2,2135.0,3,198.0,,4,hotel galles,,,395.0,,Albergo
57,PZA LUIGI DI SAVOIA N. 20 (z.d. 2),PZA,LUIGI DI SAVOIA,20,2260.0,2,106.0,13;14,4,starhotels anderson,,1;2;3;4;5;6;7;8,212.0,16;17,Albergo
58,PZA MISSORI GIUSEPPE N. 1 (z.d. 1),PZA,MISSORI GIUSEPPE,1,525.0,1,167.0,,4,hotel dei cavalieri,9.0,,305.0,,Albergo
59,PZA OBERDAN GUGLIELMO N. 12 (z.d. 3),PZA,OBERDAN GUGLIELMO,12,2108.0,3,30.0,0,3,hotel mercure milano centro porta venezi,,,57.0,0,Albergo
60,PZA SANTA MARIA BELTRADE N. 4 (z.d. 1),PZA,SANTA MARIA BELTRADE,4,514.0,1,48.0,,3,hotel gritti,,,78.0,,Albergo
61,PZA SANTA MARIA DEL SUFFRAGIO N. 3 (z.d. 4),PZA,SANTA MARIA DEL SUFFRAGIO,3,3078.0,4,15.0,0,2,xxii marzo,,,25.0,0,Albergo
62,PZA SANT' EUSTORGIO N. 2 (z.d. 1),PZA,SANT' EUSTORGIO,2,5186.0,1,22.0,,3,,,,38.0,,Albergo
63,VIA AIRAGHI GAETANO N. 125 num.000 ; (z.d. 7),VIA,AIRAGHI GAETANO,125,6330.0,7,234.0,0,4,idea hotel milano san siro,,,432.0,0,Albergo
64,VIA AJRAGHI CESARE N. 30 suap; (z.d. 8),VIA,AJRAGHI CESARE,30,7276.0,8,17.0,0,2,residence 2gi,,,22.0,0,Residence
65,VIA ALBRICCI ALBERICO N. 4 (z.d. 1),VIA,ALBRICCI ALBERICO,4,337.0,1,73.0,11;11;12;11;6;6;5;7;4,4,residence missori,9.0,3;4;5;6;7;8;2;9;0,158.0,24;24;24;22;14;16;12;14;8,Residence
66,VIA ANTONIO DA RECANATE N. 2 (z.d. 2),VIA,ANTONIO DA RECANATE,2,2215.0,2,10.0,,1,KLICK HOTEL,,,16.0,,Albergo
67,VIA AOSTA N. 2 (z.d. 8),VIA,AOSTA,2,7227.0,8,15.0,,1,hotel principe eugenio,,,24.0,,Albergo
68,VIA AOSTA N. 2 (z.d. 8),VIA,AOSTA,2,7227.0,8,15.0,,3,hotel bogart 2,,,25.0,,Albergo
69,VIA ARCHIMEDE N. 121 (z.d. 4),VIA,ARCHIMEDE,121,3086.0,4,7.0,1;3;3,1,pensione lanterna,3.0,T;1;2,16.0,2;7;7,Albergo
70,VIA ARCHIMEDE N. 79 (z.d. 4),VIA,ARCHIMEDE,79,3086.0,4,14.0,14,2,HOTEL CASTELLETTO,,,22.0,22,Albergo
71,VIA ARCHIMEDE num.086/88 ;,VIA,ARCHIMEDE,86/88,3086.0,4.0,14.0,6;8,2,hotel delizia,2.0,R;1,25.0,12;12,Albergo
72,VIA ARIMONDI GIUSEPPE N. 12 (z.d. 8),VIA,ARIMONDI GIUSEPPE,12,7179.0,8,71.0,12;12;11;12;12,4,hotel regency,,4;5;3;1;2,125.0,18;18;18;18;18,Albergo
73,VIA ARIOSTO LODOVICO N. 22 (z.d. 1),VIA,ARIOSTO LODOVICO,22,6184.0,1,48.0,1;14;14;12;12,3,hotel ariosto,5.0,R;1;2;3;4,96.0,1;21;21;19;18,Albergo
74,VIA ASTOLFO N. 5 (z.d. 3),VIA,ASTOLFO,5,2566.0,3,23.0,4;5,3,hotel vienna,5.0,1;2;3;4;5,35.0,5;4,Albergo
75,VIA ASTOLFO N. 6 (z.d. 3),VIA,ASTOLFO,6,2566.0,3,21.0,5;6;6;6,3,hotel lugano,4.0,R;1;2;3,31.0,8;9;9;9,Albergo
76,VIA BAMBAIA N. 4 (z.d. 2),VIA,BAMBAIA,4,2278.0,2,14.0,9;6,2,loreto,,1;2,25.0,16;8,Albergo
77,VIA BARACCHINI FLAVIO N. 12 (z.d. 1),VIA,BARACCHINI FLAVIO,12,356.0,1,177.0,0,4,hotel brunelleschi,,,259.0,0,Albergo
78,VIA BARTOLOZZI FRANCESCO N. 9 (z.d. 4),VIA,BARTOLOZZI FRANCESCO,9,3267.0,4,7.0,7,1,hotel rossovino,,,12.0,12,Albergo
79,VIA BASSI UGO num.001/a ; (z.d. 9),VIA,BASSI UGO,1/a,1143.0,9,134.0,35;26;30;30;19,4,holiday inn milan garibaldi station,,1;2;3;4;5,272.0,60;48;53;50;26,Albergo
80,VIA BENEFATTORI DELL'OSPEDALE N. 24 (z.d. 9),VIA,BENEFATTORI DELL'OSPEDALE,24,1522.0,9,10.0,3;4,1,albergo sicilia,,1;2,19.0,5;6,Albergo
81,VIA BONNET NINO num.006/b ;,VIA,BONNET NINO,6/b,1109.0,9.0,19.0,2;4;4;4;2,2,residence bonnet,5.0,1;2;5;6;7,45.0,10;30;30;30;5,Residence
82,VIA BORGONUOVO N. 1 (z.d. 1),VIA,BORGONUOVO,1,139.0,1,16.0,4;4;4;3,4,residence borgonuovo,4.0,1;2;3;4,32.0,7;7;7;8,Residence
83,VIA BORROMEI N. 4 (z.d. 1),VIA,BORROMEI,4,632.0,1,28.0,16;10,3,vecchia milano,2.0,1;2,43.0,23;17,Albergo
84,VIA BOSCOVICH RUGGERO N. 21 deleg. somministr. zheng ruile; (z.d. 2),VIA,BOSCOVICH RUGGERO,21,2131.0,2,35.0,5;10;10;10,3,hotel bolzano,4.0,T;1;2;3,68.0,7;16;16;18,Albergo
85,VIA BOSCOVICH RUGGERO N. 43 (z.d. 3),VIA,BOSCOVICH RUGGERO,43,2131.0,3,14.0,,3,hotel bagliori,,,19.0,,Albergo
86,VIA BOSCOVICH RUGGERO N. 59 (z.d. 3),VIA,BOSCOVICH RUGGERO,59,2131.0,3,51.0,51,3,hotel serena,,,108.0,108,Albergo
87,VIA BREMBO N. 27 (z.d. 5),VIA,BREMBO,27,4219.0,5,55.0,,2,,,,99.0,,Residence
88,VIA BRESSANONE num.004/a ; (),VIA,BRESSANONE,4/a,7425.0,8.0,80.0,18,4,hotel arizona,,1;2;3;4;5,120.0,24,Albergo
89,VIA BRIVIO CESARE N. 33 (z.d. 9),VIA,BRIVIO CESARE,33,1502.0,9,12.0,0,2,HOTEL BRIVIO,,,21.0,0,Albergo
90,VIA BROGLIO EMILIO N. 28 (z.d. 9),VIA,BROGLIO EMILIO,28,1246.0,9,7.0,,2,HOTEL BOVISA,,,9.0,,Albergo
91,VIA BROLETTO N. 46 (z.d. 1),VIA,BROLETTO,46,720.0,1,54.0,13;10;10;10;8,3,hotel centro,5.0,1;2;3;4;5,94.0,24;18;18;18;10,Albergo
92,VIA BUONARROTI MICHELANGELO N. 13 (z.d. 7),VIA,BUONARROTI MICHELANGELO,13,6253.0,7,49.0,5;10;9;5;5;5;5;5,4,hotel wagner,8.0,1;2;3;4;5;6;7;8,93.0,9;20;19;9;9;9;9;9,Albergo
93,VIA BUTTI ENRICO N. 9 (z.d. 9),VIA,BUTTI ENRICO,9,1292.0,9,110.0,0,4,hotel milton milano,,,308.0,0,Albergo
94,VIA CACCIANINO ANTONIO N. 10 (z.d. 3),VIA,CACCIANINO ANTONIO,10,2419.0,3,8.0,8,1,hotel ambra,,,18.0,18,Albergo
95,VIA CADIBONA N. 2 (z.d. 4),VIA,CADIBONA,2,3339.0,4,30.0,0,3,hotel molise2,,,42.0,0,Albergo
96,VIA CALVI PIETRO N. 32 (z.d. 4),VIA,CALVI PIETRO,32,3083.0,4,40.0,0,4,hotel vittoria,,,58.0,0,Albergo
97,VIA CANONICA LUIGI N. 38 (z.d. 1),VIA,CANONICA LUIGI,38,7121.0,1,45.0,9;9;9;9;9,3,hotel europeo,5.0,1;2;3;4;5,70.0,21;21;21;21;21,Albergo
98,VIA CANONICA LUIGI N. 79 (z.d. 8),VIA,CANONICA LUIGI,79,7121.0,8,12.0,12,1,pensione aris,1.0,1,17.0,17,Albergo
99,VIA CAPPELLINI ALFREDO N. 18 (z.d. 2),VIA,CAPPELLINI ALFREDO,18,2130.0,2,81.0,16;16;17;17;15,3,hotel delle nazioni,5.0,1;2;3;4;5,163.0,25;25;27;26;21,Albergo
100,VIA CARCANO FILIPPO N. 37 (z.d. 7),VIA,CARCANO FILIPPO,37,6389.0,7,12.0,,1,hotel   leonardo,,,22.0,,Albergo
101,VIA CARCANO FILIPPO N. 39 (z.d. 7),VIA,CARCANO FILIPPO,39,6389.0,7,11.0,11,1,hotel amendola fiera,,,23.0,23,Albergo
102,VIA CARCANO FILIPPO N. 47 (z.d. 7),VIA,CARCANO FILIPPO,47,6389.0,7,8.0,4;4,1,gianni,2.0,R;1,10.0,5;5,Albergo
103,VIA CARDANO GEROLAMO N. 1 (z.d. 9),VIA,CARDANO GEROLAMO,1,1187.0,9,254.0,0,4,hotel four points sheraton milan centre,,,465.0,0,Albergo
104,VIA CASATI FELICE N. 18 (z.d. 3),VIA,CASATI FELICE,18,2122.0,3,99.0,16;16;16,4,albergo felice casati,,1;2;3,145.0,22;22;22,Albergo
105,VIA CASELLA GIOVANNI BATTISTA N. 61 (z.d. 8),VIA,CASELLA GIOVANNI BATTISTA,61,7382.0,8,86.0,10;10;10;10;10,4,hotel mirage,,1;2;3;4;5,132.0,16;16;16;16;16,Albergo
106,VIA CASTALDI PANFILO N. 16 (z.d. 3),VIA,CASTALDI PANFILO,16,2119.0,3,25.0,0;0,3,hotel brianza,,;,36.0,0;0,Albergo
107,VIA CASTALDI PANFILO N. 17 (z.d. 3),VIA,CASTALDI PANFILO,17,2119.0,3,15.0,15,2,hotel siena,1.0,1,25.0,25,Albergo
108,VIA CASTALDI PANFILO N. 26 (z.d. 3),VIA,CASTALDI PANFILO,26,2119.0,3,12.0,,1,hotel porta venezia,,,20.0,,Albergo
109,VIA CASTALDI PANFILO N. 7 (z.d. 2),VIA,CASTALDI PANFILO,7,2119.0,2,52.0,13,4,hotel baviera,4.0,1;2;3;4,92.0,19;18,Albergo
110,VIA CASTELFIDARDO N. 2 (z.d. 1),VIA,CASTELFIDARDO,2,1043.0,1,11.0,,2,antica locanda solferino,,,21.0,,Albergo
111,VIA CATALANI ALFREDO N. 69 (z.d. 3),VIA,CATALANI ALFREDO,69,2425.0,3,20.0,3;4;4;4;4;1,1,albergo la pace,6.0,1;2;3;4;5;6,33.0,6;0;0;0;0;2,Albergo
112,VIA CATALANI ALFREDO N. 71 (z.d. 3),VIA,CATALANI ALFREDO,71,2425.0,3,20.0,4;6;6;1,2,hotel catalani e madrid,4.0,R;1;2;3,38.0,8;13;13;1,Albergo
113,VIA CERVA N. 16 residence cerva; (z.d. 1),VIA,CERVA,16,314.0,1,7.0,,3,residence cerva,,,7.0,,Residence
114,VIA CESARI ANTONIO N. 19 (z.d. 9),VIA,CESARI ANTONIO,19,1603.0,9,89.0,18;16;13;3,4,residence siloe,,1;2;3;4;5;6;7,199.0,37;27;29;9,Residence
115,VIA CESENA N. 20 (z.d. 8),VIA,CESENA,20,7226.0,8,35.0,,3,hotel corallo,,,48.0,,Albergo
116,VIA CIMAROSA DOMENICO N. 19 (z.d. 7),VIA,CIMAROSA DOMENICO,19,6291.0,7,23.0,,3,residence cimarosa,,,27.0,,Residence
117,VIA CIMAROSA DOMENICO N. 6 (z.d. 7),VIA,CIMAROSA DOMENICO,6,6291.0,7,66.0,,4,hotel capitol millennium,,,111.0,,Albergo
118,VIA COLA MONTANO N. 29 (z.d. 9),VIA,COLA MONTANO,29,1139.0,9,21.0,0,2,r.t.a. cola montano,,,21.0,0,Residence
119,VIA COLOMBO GIUSEPPE N. 14 (z.d. 3),VIA,COLOMBO GIUSEPPE,14,3201.0,3,10.0,0,3,sunset city,,,17.0,0,Albergo
120,VIA COLONNA VITTORIA N. 48 (z.d. 7),VIA,COLONNA VITTORIA,48,6284.0,7,13.0,1;6;6,3,residence colonna,3.0,R;2;3,26.0,2;12;12,Residence
121,VIA CONCA DEL NAVIGLIO N. 20 (z.d. 1),VIA,CONCA DEL NAVIGLIO,20,5180.0,1,105.0,0,3,idea hotel milano corso genova,,,199.0,0,Albergo
122,VIA COPERNICO NICOLO' num.018/20 ; (z.d. 2),VIA,COPERNICO NICOLO',18/20,1204.0,2,53.0,4;12;3,3,hotel club,6.0,T;1;2;3;4;5,73.0,5;16,Albergo
123,VIA CORNALIA EMILIO N. 7 (z.d. 9),VIA,CORNALIA EMILIO,7,1182.0,9,26.0,3;9,2,class,3.0,1;2;3,52.0,6;18,Residence
124,VIA CORRENTI CESARE N. 13 (z.d. 1),VIA,CORRENTI CESARE,13,555.0,1,43.0,,4,hotel regina,,,59.0,,Albergo
125,VIA CORTINA D'AMPEZZO N. 17 (z.d. 5),VIA,CORTINA D'AMPEZZO,17,4259.0,5,13.0,0,2,hotel alessander,,,23.0,0,Albergo
126,VIA CUSANI N. 13 (z.d. 1),VIA,CUSANI,13,719.0,1,92.0,0,4,hotel bonaparte,,,234.0,0,Albergo
127,VIA CUSTODI PIETRO N. 2 (z.d. 5),VIA,CUSTODI PIETRO,2,5199.0,5,31.0,,1,"hotel ""la vignetta""",,,56.0,,Albergo
128,VIA DAL POZZO TOSCANELLI PAOLO N. 4 (z.d. 2),VIA,DAL POZZO TOSCANELLI PAOLO,4,2516.0,2,16.0,6;6;4,1,trento,3.0,1;2;3,23.0,8;9;6,Albergo
129,VIA DANDOLO ENRICO N. 2 (z.d. 1),VIA,DANDOLO ENRICO,2,3028.0,1,24.0,,3,albergo pavone,,,50.0,,Albergo
130,VIA DE ALBERTIS SEBASTIANO N. 7 (z.d. 3),VIA,DE ALBERTIS SEBASTIANO,7,3138.0,3,11.0,0,2,hotel de albertis,,,18.0,0,Albergo
131,VIA DE CRISTOFORIS CARLO N. 6 (z.d. 9),VIA,DE CRISTOFORIS CARLO,6,1120.0,9,125.0,7;19;76;8,4,residence atahotel the big,,1;2;3;4;5;6;7;8;9;0,245.0,16;36,Albergo
132,VIA DEI BOSSI N. 5 (z.d. 1),VIA,DEI BOSSI,5,115.0,1,30.0,9;9;7;5,3,hotel star,4.0,1;2;3;4,48.0,14;14;13;7,Albergo
133,VIA DEI FONTANILI N. 26 (z.d. 5),VIA,DEI FONTANILI,26,4224.0,5,57.0,57,4,mihotel,,,75.0,75,Albergo
134,VIA DEI MISSAGLIA N. 14 (z.d. 5),VIA,DEI MISSAGLIA,14,5340.0,5,19.0,,3,hotel giardino,,,24.0,,Albergo
135,VIA DELLA GIUSTIZIA N. 10 (z.d. 2),VIA,DELLA GIUSTIZIA,10,1410.0,2,145.0,0,4,idea hotel milano bicocca,,,290.0,0,Albergo
136,VIA DELLE FORZE ARMATE N. 8 (z.d. 7),VIA,DELLE FORZE ARMATE,8,6643.0,7,12.0,0,1,hotel edy,1.0,,25.0,0,Albergo
137,VIA DELL' ORSO N. 7 (z.d. 1),VIA,DELL' ORSO,7,123.0,1,62.0,62,4,hotel milano scala,,,115.0,115,Albergo
138,VIA DEL MARE N. 93 (z.d. 5),VIA,DEL MARE,93,5318.0,5,87.0,0,3,hotel alga,,,159.0,0,Albergo
139,VIA DESENZANO N. 12 (z.d. 7),VIA,DESENZANO,12,6610.0,7,60.0,12;9;6,3,residence desenzano,6.0,R;1;2;3;4;S,115.0,20;24;23;12,Residence
140,VIA DI TOCQUEVILLE ALESSIO N. 7 numero civico 7/d; (z.d. 9),VIA,DI TOCQUEVILLE ALESSIO,7,1703.0,9,109.0,0,4,una hotel tocq,,,272.0,0,Albergo
141,VIA DOMENICHINO N. 41 (z.d. 7),VIA,DOMENICHINO,41,6383.0,7,64.0,21;11;10;8,3,hotel domenichino,5.0,1;2;3;4;5;6,110.0,29;16;15;12,Albergo
142,VIA DOMODOSSOLA N. 16 (z.d. 8),VIA,DOMODOSSOLA,16,7152.0,8,60.0,10;10;10;10;10;10,4,hotel admiral,6.0,1;2;3;4;5;6,102.0,17;17;17;17;17;17,Albergo
143,VIA DONATELLO num.010/12 ; (z.d. 3),VIA,DONATELLO,10/12,2214.0,3,10.0,4;6,4,residence donatello,2.0,T;1,20.0,12;16,Residence
144,VIA EDOLO N. 18 (z.d. 2),VIA,EDOLO,18,1217.0,2,17.0,,1,BIO CITY HOTEL,,,32.0,,Albergo
145,VIA FARINI CARLO num.001/a ; (z.d. 8),VIA,FARINI CARLO,1/a,,8,31.0,7;8;8;8,3,hotel san guido,4.0,1;2;3;4,47.0,11;12;12;12,Albergo
146,VIA FATEBENEFRATELLI N. 21 (z.d. 1),VIA,FATEBENEFRATELLI,21,144.0,1,121.0,35;0;21;15,4,hotel cavour,5.0,1;2;3;4;5,224.0,55;0;39;38;36;24,Albergo
147,VIA FAUCHE' GIOVANNI BATTISTA N. 15 (z.d. 8),VIA,FAUCHE' GIOVANNI BATTISTA,15,7192.0,8,153.0,0,4,una hotel scandinavia,,,292.0,0,Albergo
148,VIA FELTRE N. 19 n. civico 19/b (z.d. 3),VIA,FELTRE,19,2652.0,3,38.0,,4,,,,70.0,,Albergo
149,VIA FERRUCCI FRANCESCO N. 10 (z.d. 8),VIA,FERRUCCI FRANCESCO,10,7150.0,8,71.0,11;12;12;12;12;8;8;7,3,hotel scala nord,8.0,R;1;2;3;4;5;6;7,95.0,16;17;17;17;17;10;10;10,Albergo
